-0.00213,-0.00319,0.01384,-0.02930,1.03418,0.05273,-0.15887,0.25165,0.29465
0.01065,0.00106,0.00426,-0.02637,1.00781,0.03516,-0.15736,0.25194,0.29547
0.00319,-0.00852,0.00319,-0.01465,1.00781,0.05566,-0.15712,0.25233,0.29566
0.00745,0.00106,0.01278,-0.01465,1.00781,0.04395,-0.15809,0.25180,0.29617
0.00532,-0.00319,0.00639,-0.02344,0.11426,1.01074,-0.17499,-0.31696,0.24289
0.00106,-0.00639,0.01384,-0.02051,0.08496,1.02832,-0.17561,-0.31644,0.24213
0.00639,0.00000,0.00958,0.00293,0.10547,1.01953,-0.17573,-0.31666,0.24155
-0.00426,-0.00106,0.00000,-0.01172,0.14648,1.01660,-0.17538,-0.31763,0.24117
0.00532,0.09475,-0.03300,-1.02539,0.03516,-0.02637,-0.21990,-0.34327,-0.19806
-0.04578,-0.00532,-0.05536,-1.01660,0.06152,-0.02637,-0.22509,-0.34179,-0.19800
0.00958,0.03620,0.04578,-1.02539,0.06152,-0.00293,-0.23057,-0.33919,-0.19790
0.08623,-0.05217,-0.01916,-1.02832,0.02051,-0.02930,-0.23487,-0.33669,-0.19856
0.06814,0.02449,0.04791,-0.11133,-1.01953,-0.04980,0.15905,-0.21439,-0.28689
-0.01384,-0.02342,0.06388,-0.11133,-1.01074,-0.03516,0.16055,-0.21384,-0.28654
0.03300,0.00532,0.03939,-0.10254,-0.99023,-0.03223,0.16139,-0.21357,-0.28631
-0.00958,-0.04897,0.05430,-0.10840,-1.02539,-0.07910,0.16114,-0.21398,-0.28672
0.00106,-0.00958,0.01171,-0.01758,0.99316,0.04980,-0.30330,0.24282,0.14930
0.00852,-0.00958,0.00958,-0.02051,1.00781,0.03809,-0.30342,0.24359,0.14875
-0.00426,-0.00426,0.01810,-0.00879,1.00488,0.02637,-0.30423,0.24325,0.14876
0.00532,0.00106,0.01065,-0.02637,1.00781,0.05273,-0.30348,0.24423,0.14892
