-0.01831,0.31300,0.00161,0.94957
-0.01829,0.31302,0.00157,0.94957
-0.01832,0.31302,0.00157,0.94957
-0.01833,0.31302,0.00157,0.94957
-0.01829,0.31302,0.00158,0.94957
-0.01830,0.31301,0.00156,0.94957
-0.01828,0.31301,0.00155,0.94957
-0.01826,0.31300,0.00156,0.94958
-0.01825,0.31303,0.00158,0.94957
-0.01823,0.31304,0.00162,0.94956
-0.01822,0.31303,0.00164,0.94957
-0.01825,0.31304,0.00161,0.94956
-0.01826,0.31304,0.00161,0.94956
-0.01827,0.31305,0.00160,0.94956
-0.01829,0.31304,0.00160,0.94956
-0.01828,0.31303,0.00162,0.94956
-0.01828,0.31303,0.00163,0.94956
-0.01831,0.31302,0.00163,0.94957
-0.01831,0.31303,0.00164,0.94957
-0.01831,0.31303,0.00166,0.94956
-0.01830,0.31303,0.00171,0.94957
-0.01828,0.31303,0.00172,0.94957
-0.01830,0.31303,0.00175,0.94957
-0.01831,0.31304,0.00177,0.94956
-0.01833,0.31302,0.00178,0.94957
-0.01835,0.31301,0.00181,0.94957
-0.01837,0.31299,0.00179,0.94958
-0.01836,0.31298,0.00179,0.94958
-0.01836,0.31298,0.00182,0.94958
-0.01833,0.31298,0.00182,0.94958
-0.01833,0.31297,0.00183,0.94958
-0.01832,0.31296,0.00187,0.94959
-0.01833,0.31295,0.00185,0.94959
-0.01834,0.31294,0.00187,0.94959
-0.01837,0.31294,0.00185,0.94959
-0.01840,0.31293,0.00189,0.94960
-0.01845,0.31293,0.00193,0.94960
-0.01849,0.31292,0.00198,0.94960
-0.01844,0.31291,0.00197,0.94960
-0.01841,0.31289,0.00196,0.94961
-0.01841,0.31289,0.00198,0.94961
-0.01839,0.31289,0.00200,0.94961
-0.01843,0.31289,0.00199,0.94961
-0.01847,0.31288,0.00199,0.94961
-0.01845,0.31288,0.00201,0.94961
-0.01843,0.31289,0.00201,0.94961
-0.01846,0.31289,0.00198,0.94961
